Name,uid,pct_age_young,pct_age_mid1,pct_age_mid2,pct_age_old,pct_dem,pct_rep,pct_ind,pct_male,pct_fem,pct_black,pct_white,pct_hisp,pct_race_other,notes,Property
NYT GA-Trump,129980_13254,34,47,43,54,1,94,39,51,39,4,68,,,white/black,Sean Grimes
NYT GA-Biden,129980_13256,63,44,43,40,94,2,40,40,49,83,27,,,white/black,Sean Grimes
YouGov GA-Trump,130351_13254,28,40,53,55,0,93,45,53,42,8,66,,,white/black,Sean Grimes
YouGov GA-Biden,130351_13256,64,48,42,40,96,4,38,41,51,83,28,,,white/black,Sean Grimes
Quinnipiac GA-Trump,130477_13254,36,48,47,54,0,97,42,56,39,7,67,,,white/black,Sean Grimes
Quinnipiac GA-Biden,130477_13256,63,49,49,45,98,3,51,41,57,89,31,,,white/black,Sean Grimes
Emerson MI-Trump,132225_13254,33,39,46,44,7,91,30,47,39,20,46,,,white/black (other race categories omitted b/c n<10),Sean Grimes
Emerson MI-Biden,132225_13256,57,51,50,55,89,7,56,49,56,78,48,,,white/black (other race categories omitted b/c n<10),Sean Grimes
Landmark GA-Trump,132266_13254,42,,47,61,12,84,31,53,52,10,68,,41,"white/black/other. Age: 18-40, 40-65,65+",Sean Grimes
Landmark GA-Biden,132266_13256,49,,50,37,87,11,60,40,45,85,28,,46,"white/black/other. Age: 18-40, 40-65,65+",Sean Grimes
Public Policy Polling GA-Trump,132272_13254,34,,46,62,3,90,44,58,36,6,67,,41,"white/black/other. Age: 18-45, 45-65,65+",Sean Grimes
Public Policy Polling GA-Biden,132272_13256,53,,50,37,91,7,45,37,56,83,29,,55,"white/black/other. Age: 18-45, 45-65,65+",Sean Grimes
YouGov MI-Trump,132308_13254,29,42,42,48,3,4,38,48,38,6,50,,,white/black,Sean Grimes
YouGov MI-Biden,132308_13256,58,49,49,48,95,91,49,44,55,91,42,,,white/black,Sean Grimes
YouGov NV-Trump,132309_13254,27,39,48,51,5,88,46,49,38,,52,32,,white/hisp,Sean Grimes
YouGov NV-Biden,132309_13256,64,51,45,43,91,7,39,43,54,,40,65,,white/hisp,Sean Grimes
YouGov IA-Trump,132310_13254,37,40,51,47,4,89,39,51,39,,47,,,white only,Sean Grimes
YouGov IA-Biden,132310_13256,50,51,42,46,93,6,44,42,50,,44,,,white only,Sean Grimes
NYT MI-Trump,132334_13254,37,38,45,39,1,90,31,44,37,12,45,,,white/black,Sean Grimes
NYT MI-Biden,132334_13256,47,49,46,52,97,4,48,42,54,86,44,,,white/black,Sean Grimes
NYT WI-Trump,132335_13254,27,39,46,42,2,91,34,50,34,,43,,27,white/other,Sean Grimes
NYT WI-Biden,132335_13256,62,50,47,53,97,6,52,43,58,,51,,55,white/other,Sean Grimes
FoxNews NC-Trump,128019_13254,,,,,3,93,,49,43,5,60,,,omitting age as only sub-45 and over-45 reported.,Sean Grimes
FoxNews NC-Biden,128019_13256,,,,,92,6,,47,53,88,37,,,omitting age as only sub-45 and over-45 reported.,Sean Grimes
YouGov WI-Trump,128231_13254,,36,45,50,4,92,36,49,39,,48,,,Young people and minorities not reported (suspect inadequate sample size),Sean Grimes
YouGov WI-Biden,128231_13256,,55,49,44,94,4,49,44,54,,46,,,Young people and minorities not reported (suspect inadequate sample size),Sean Grimes
SurveyUSA MN-Trump,128382_13254,32,40,45,42,2,90,30,45,36,,43,,,"white only race value among my categories (asian included in poll, but leaving that out)",Sean Grimes
SurveyUSA MN-Biden,128382_13256,55,49,39,54,94,5,47,44,54,,48,,,"white only race value among my categories (asian included in poll, but leaving that out)",Sean Grimes
Emerson WI-Trump,129251_13254,33,44,48,45,6,89,35,44,44,27,45,39,,,Sean Grimes
Emerson WI-Biden,129251_13256,60,49,48,52,89,10,55,52,50,59,50,55,,,Sean Grimes
NYT MN-Trump,129275_13254,22,34,52,40,1,94,33,43,38,,43,,27,white/other,Sean Grimes
NYT MN-Biden,129275_13256,67,57,40,52,94,3,52,44,56,,49,,60,white/other,Sean Grimes
NYT NV2-Trump,129276_13254,26,40,54,37,3,93,36,48,37,,52,,24,white/other,Sean Grimes
NYT NV2-Biden,129276_13256,53,42,40,57,89,5,41,41,53,,41,,58,white/other,Sean Grimes
NYT WI-Trump,129278_13254,15,52,50,42,3,90,35,46,39,,45,,21,white/other,Sean Grimes
NYT WI-Biden,129278_13256,73,36,42,53,94,7,49,44,52,,47,,71,white/other,Sean Grimes
YouGov MN-Trump,129304_13254,36,37,42,48,4,90,32,46,37,,45,,,white only,Sean Grimes
YouGov MN-Biden,129304_13256,55,57,46,48,93,5,52,45,55,,47,,,,Sean Grimes
ABC MN-Trump,129399_13254,,,,41,2,10,37,51,31,,,,,,Sean Grimes
ABC MN-Biden,129399_13256,,,,58,98,89,58,48,67,,,,,,Sean Grimes
NYT AZ-Trump,129506_13254,25,32,50,40,3,89,23,43,37,,46,26,25,White/hisp/other,Sean Grimes
NYT AZ-Biden,129506_13256,53,57,43,51,94,8,52,45,54,,45,57,67,White/hisp/other,Sean Grimes
NYT NC-Trump,129508_13254,20,44,50,50,4,89,39,43,44,2,56,,,white/black,Sean Grimes
NYT NC-Biden,129508_13256,62,43,40,44,90,5,42,44,45,86,34,,,white/black,Sean Grimes
YouGov FL-Trump,129606_13254,30,38,50,53,5,90,46,51,42,8,59,36,,,Sean Grimes
YouGov FL-Biden,129606_13256,62,52,46,44,94,7,43,45,51,87,37,56,,,Sean Grimes
Emerson NC-Trump,129616_13254,28,27,60,63,9,89,55,48,50,,54,,30,White/other,Sean Grimes
Emerson NC-Biden,129616_13256,71,70,39,37,90,10,43,51,49,,45,,69,White/other,Sean Grimes
ABC AZ-Trump,129892_13254,39,,59,54,6,89,38,55,42,,54,,36,"Age under-49, 50-64, over-65. White/other",Sean Grimes
ABC AZ-Biden,129892_13256,56,,37,44,94,8,57,43,52,,43,,58,"Age under-49, 50-64, over-65. White/other",Sean Grimes
ABC FL-Trump,129894_13254,45,,51,52,5,92,47,59,44,,60,,30,"Age under-40, 45-64, over-65. White/other",Sean Grimes
ABC FL-Biden,129894_13256,50,,48,44,94,5,48,40,52,,38,,67,"Age under-40, 45-64, over-65. White/other",Sean Grimes
Quinnipiac OH-Trump,130270_13254,46,47,50,45,4,89,46,54,40,6,52,,,White/black,Sean Grimes
Quinnipiac OH-Biden,130270_13256,45,49,47,52,95,10,45,40,55,91,43,,,White/black,Sean Grimes
FoxNews NV-Trump,130282_13254,27,,,44,4,87,34,43,40,,48,33,,Age under-35 and over-65. White/hispanic,Sean Grimes
FoxNews NV-Biden,130282_13256,63,,,52,93,9,40,49,55,,46,61,,Age under-35 and over-65. White/hispanic,Sean Grimes
FoxNews OH-Trump,130283_13254,35,,,43,3,89,,49,41,,51,,10,Age under-35 and over-65. White/other. No independents,Sean Grimes
FoxNews OH-Biden,130283_13256,58,,,51,94,8,,45,55,,44,,85,Age under-35 and over-65. White/other. No independents,Sean Grimes
FoxNews PA-Trump,130284_13254,31,,,44,5,89,,50,39,,51,,10,Age under-35 and over-65. White/other. No independents,Sean Grimes
FoxNews PA-Biden,130284_13256,64,,,52,92,8,,46,56,,45,,84,Age under-35 and over-65. White/other. No independents,Sean Grimes
YouGov NC-Trump,130352_13254,39,44,45,55,4,93,46,56,37,10,58,,,White/Black only,Sean Grimes
YouGov NC-Biden,130352_13256,50,51,51,40,95,4,40,39,56,83,37,,,White/Black only,Sean Grimes
Marist MI-Trump,130356_13254,41,,,45,2,95,37,51,37,7,47,,50,"White/Black/Other. Age under-45, over-45, over-65 - I only tracked youngest and oldest",Sean Grimes
Marist MI-Biden,130356_13256,53,,,53,97,4,56,45,59,90,49,,41,"White/Black/Other. Age under-45, over-45, over-65 - I only tracked youngest and oldest",Sean Grimes
Marist WI-Trump,130357_13254,37,,,38,2,95,35,49,39,,45,,27,"White/Other. Age under-45, over-45, over-65 - I only tracked youngest and oldest",Sean Grimes
Marist WI-Biden,130357_13256,58,,,59,98,4,59,48,59,,52,,70,"White/Other. Age under-45, over-45, over-65 - I only tracked youngest and oldest",Sean Grimes
UMass NC-Trump,130466_13254,36,,,54,4,91,42,51,44,57,16,,39,"2 age brackets- 18-44 and 65+ ",Sean Grimes
UMass NC-Biden,130466_13256,52,,,45,92,6,40,43,51,39,75,,52,"2 age brackets- 18-44 and 65+ ",Sean Grimes
Suffolk AZ-Trump,130641_13254,46,47,45,46,1,93,46,52,41,,49,,39,White/Other,Sean Grimes
Suffolk AZ-Biden,130641_13256,46,52,53,51,99,6,44,44,56,,49,,54,White/Other,Sean Grimes
NYT FL-Trump,131408_13254,25,38,48,45,3,87,33,47,38,5,52,34,,White/Black/Hisp,Sean Grimes
NYT FL-Biden,131408_13256,62,48,43,47,93,11,45,42,52,75,38,58,,White/Black/Hisp,Sean Grimes
NYT PA-Trump,131409_13254,29,40,47,42,5,84,34,46,39,,47,,22,White/Other,Sean Grimes
NYT PA-Biden,131409_13256,62,49,43,53,91,11,47,44,54,,44,,73,White/Other,Sean Grimes
YouGov PA-Trump,131595_13254,31,37,47,48,6,87,40,50,38,,49,,,Only white voters broken out,Sean Grimes
YouGov PA-Biden,131595_13256,64,54,47,47,90,8,50,45,56,,45,,,Only white voters broken out,Sean Grimes
YouGov OH-Trump,131596_13254,35,42,48,52,3,91,46,51,43,8,52,,,white/black,Sean Grimes
YouGov OH-Biden,131596_13256,55,50,45,43,94,6,40,43,50,86,41,,,white/black,Sean Grimes
NYT AZ-Trump,131638_13254,22,38,48,47,3,90,28,46,37,,49,27,19,"White/Hisp/Other ",Sean Grimes
NYT AZ-Biden,131638_13256,64,53,43,48,95,6,53,44,55,,42,65,70,"White/Hisp/Other ",Sean Grimes
UNF FL-Trump,131976_13254,23,36,48,50,1,90,42,51,39,7,54,47,44,,Sean Grimes
UNF FL-Biden,131976_13256,69,61,49,47,97,7,50,45,56,93,43,47,46,"skipped 25-34 and 55-64 age groups - kept middle-2, top and bottom age brackets.",Sean Grimes
Suffolk FL-Trump,131979_13254,37,50,47,46,7,92,50,47,44,3,57,42,,,Sean Grimes
Suffolk FL-Biden,131979_13256,42,42,48,49,89,6,42,42,49,81,41,46,,,Sean Grimes
Monmouth PA-Trump,131999_13254,40,,45,42,2,89,34,49,35,,48,,16,low likely turnout,Sean Grimes
Monmouth PA-Biden,131999_13256,54,,54,55,97,8,59,48,61,,49,,83,low likely turnout. Young = 18-49. White/non-white.,Sean Grimes
Emerson PA-Trump,132039_13254,32,42,50,53,17,85,32,48,43,21,50,38,,Left out middle age category and Other ethnicity (asian and other were both available),Sean Grimes
Emerson PA-Biden,132039_13256,62,51,48,44,81,12,51,46,53,79,45,55,,Left out middle age category and Other ethnicity (asian and other were both available),Sean Grimes
Data Orbital AZ-Trump,132090_13254,32,27,44,51,7,81,27,48,37,18,47,28,,Left out middle age category and Other ethnicity (asian and other were both available),Sean Grimes
Data Orbital AZ-Biden,132090_13256,49,53,44,46,85,12,51,37,55,76,42,57,,Left out middle age category and Other ethnicity (asian and other were both available),Sean Grimes
NYT OH-Trump,132099_13254,33,39,49,48,4,89,38,49,40,,49,,20,white/non-white,Sean Grimes
NYT OH-Biden,132099_13256,51,52,40,46,94,7,42,39,51,,42,,67,white/non-white,Sean Grimes
NYT NV-Trump,132100_13254,30,42,41,49,5,93,37,47,38,,52,,27,white/non-white,Sean Grimes
NYT NV-Biden,132100_13256,57,43,50,45,93,4,42,44,52,,41,,61,white/non-white,Sean Grimes
Quinnipiac FL-Trump,132107_13254,32,40,48,40,4,88,34,45,37,6,49,37,,,Sean Grimes
Quinnipiac FL-Biden,132107_13256,56,50,46,55,91,9,54,44,56,84,44,51,,,Sean Grimes
Quinnipiac IA-Trump,132108_13254,38,54,50,36,2,91,43,55,35,,,,,no racial breakdown,Sean Grimes
Quinnipiac IA-Biden,132108_13256,58,42,46,61,98,6,48,39,61,,,,,no racial breakdown,Sean Grimes
Quinnipiac PA-Trump,132109_13254,36,36,52,39,5,86,39,50,33,,46,,22,white/non-white,Sean Grimes
Quinnipiac PA-Biden,132109_13256,58,59,45,58,92,10,57,44,63,,51,,71,white/non-white,Sean Grimes
Emerson FL-Biden,132342_13256,57,45,49,51,84,11,55,43,56,87,43,52,,white/black/hisp,Sean Grimes
Emerson FL-Trump,132342_13254,42,49,51,45,15,88,38,53,42,9,54,48,,white/black/hisp,Sean Grimes
,,,,,,,,,,,,,,,,Sean Grimes